Line count,Response time,current time,app id
176,4.059,Konnichiwa from hello-edge-node-e1zri in edge-node,3
177,3.877,Konnichiwa from hello-edge-node-e1zri in edge-node,6
178,3.779,Konnichiwa from hello-edge-node-e1zri in edge-node,10
179,4.036,Konnichiwa from hello-edge-node-e1zri in edge-node,3
180,3.44,Konnichiwa from hello-edge-node-e1zri in edge-node,6
181,3.479,Konnichiwa from hello-edge-node-e1zri in edge-node,10
182,3.52,Konnichiwa from hello-edge-node-e1zri in edge-node,3
183,3.826,Konnichiwa from hello-edge-node-e1zri in edge-node,6
184,4.522,Konnichiwa from hello-edge-node-e1zri in edge-node,10
185,3.313,Konnichiwa from hello-edge-node-e1zri in edge-node,3
186,3.3800000000000003,Konnichiwa from hello-edge-node-e1zri in edge-node,6
187,3.387,Konnichiwa from hello-edge-node-e1zri in edge-node,10
188,3.93,Konnichiwa from hello-edge-node-e1zri in edge-node,3
189,3.337,Konnichiwa from hello-edge-node-e1zri in edge-node,6
190,3.384,Konnichiwa from hello-edge-node-e1zri in edge-node,10
191,3.286,Konnichiwa from hello-edge-node-e1zri in edge-node,3
192,3.548,Konnichiwa from hello-edge-node-e1zri in edge-node,6
193,3.745,Konnichiwa from hello-edge-node-e1zri in edge-node,10
194,3.397,Konnichiwa from hello-edge-node-e1zri in edge-node,3
195,3.516,Konnichiwa from hello-edge-node-e1zri in edge-node,3
196,3.5309999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,6
197,3.669,Konnichiwa from hello-edge-node-e1zri in edge-node,3
198,3.573,Konnichiwa from hello-edge-node-e1zri in edge-node,6
199,3.469,Konnichiwa from hello-edge-node-e1zri in edge-node,10
200,3.726,Konnichiwa from hello-edge-node-e1zri in edge-node,3
201,4.261,Konnichiwa from hello-edge-node-e1zri in edge-node,6
202,3.513,Konnichiwa from hello-edge-node-e1zri in edge-node,3
203,3.5509999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,6
204,4.375,Konnichiwa from hello-edge-node-e1zri in edge-node,3
205,3.902,Konnichiwa from hello-edge-node-e1zri in edge-node,10
206,3.701,Konnichiwa from hello-edge-node-e1zri in edge-node,6
207,3.655,Konnichiwa from hello-edge-node-e1zri in edge-node,3
208,3.5170000000000003,Konnichiwa from hello-edge-node-e1zri in edge-node,6
209,3.422,Konnichiwa from hello-edge-node-e1zri in edge-node,10
210,3.397,Konnichiwa from hello-edge-node-e1zri in edge-node,6
211,3.3939999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,10
212,3.612,Konnichiwa from hello-edge-node-e1zri in edge-node,3
213,3.59,Konnichiwa from hello-edge-node-e1zri in edge-node,6
214,3.819,Konnichiwa from hello-edge-node-e1zri in edge-node,10
215,3.4499999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,6
216,3.6229999999999998,Konnichiwa from hello-edge-node-e1zri in edge-node,10
217,3.33,Konnichiwa from hello-edge-node-e1zri in edge-node,6
218,3.226,Konnichiwa from hello-edge-node-e1zri in edge-node,3
219,3.383,Konnichiwa from hello-edge-node-e1zri in edge-node,10
220,3.356,Konnichiwa from hello-edge-node-e1zri in edge-node,10
221,3.572,Konnichiwa from hello-edge-node-e1zri in edge-node,3
222,3.504,Konnichiwa from hello-edge-node-e1zri in edge-node,10
223,4.595,Konnichiwa from hello-edge-node-e1zri in edge-node,6
224,3.814,Konnichiwa from hello-edge-node-e1zri in edge-node,10
225,3.52,Konnichiwa from hello-edge-node-e1zri in edge-node,3
226,3.906,Konnichiwa from hello-edge-node-e1zri in edge-node,10
227,3.734,Konnichiwa from hello-edge-node-e1zri in edge-node,6
228,3.615,Konnichiwa from hello-edge-node-e1zri in edge-node,10
229,3.675,Konnichiwa from hello-edge-node-e1zri in edge-node,3
230,4.889,Konnichiwa from hello-edge-node-e1zri in edge-node,6
231,3.713,Konnichiwa from hello-edge-node-e1zri in edge-node,6
232,3.891,Konnichiwa from hello-edge-node-e1zri in edge-node,10
233,3.248,Konnichiwa from hello-edge-node-e1zri in edge-node,3
234,3.9090000000000003,Konnichiwa from hello-edge-node-e1zri in edge-node,6
235,3.479,Konnichiwa from hello-edge-node-e1zri in edge-node,6
236,3.7079999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,6
237,3.377,Konnichiwa from hello-edge-node-e1zri in edge-node,10
238,3.506,Konnichiwa from hello-edge-node-e1zri in edge-node,3
239,3.375,Konnichiwa from hello-edge-node-e1zri in edge-node,6
240,3.1220000000000003,Konnichiwa from hello-edge-node-e1zri in edge-node,6
241,3.6719999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,10
242,3.2439999999999998,Konnichiwa from hello-edge-node-e1zri in edge-node,3
243,3.9659999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,6
244,3.657,Konnichiwa from hello-edge-node-e1zri in edge-node,6
245,3.479,Konnichiwa from hello-edge-node-e1zri in edge-node,6
246,3.437,Konnichiwa from hello-edge-node-e1zri in edge-node,10
247,3.468,Konnichiwa from hello-edge-node-e1zri in edge-node,3
248,3.436,Konnichiwa from hello-edge-node-e1zri in edge-node,6
249,3.233,Konnichiwa from hello-edge-node-e1zri in edge-node,6
250,4.201,Konnichiwa from hello-edge-node-e1zri in edge-node,10
251,4.622,Konnichiwa from hello-edge-node-e1zri in edge-node,3
252,3.8240000000000003,Konnichiwa from hello-edge-node-e1zri in edge-node,6
253,3.397,Konnichiwa from hello-edge-node-e1zri in edge-node,10
254,4.2,Konnichiwa from hello-edge-node-e1zri in edge-node,6
255,3.49,Konnichiwa from hello-edge-node-e1zri in edge-node,3
256,3.285,Konnichiwa from hello-edge-node-e1zri in edge-node,10
257,4.188,Konnichiwa from hello-edge-node-e1zri in edge-node,6
